ID,orig,dest,duration,distance
242,4,106,747,2733
243,4,107,871,3331
244,4,108,906,3891
245,4,109,968,4211
246,4,110,2096,9979
247,4,111,878,3361
248,4,112,546,1809
249,4,113,773,2700
250,4,114,843,3351
251,4,115,1410,6165
252,4,116,415,1331
253,4,117,601,2395
254,4,118,1347,5704
255,4,119,386,1397
256,4,120,1532,7159
257,4,121,1326,6106
258,4,122,1183,5183
259,4,123,1107,5001
260,4,124,1238,5753
261,4,125,907,4115
262,4,126,1490,6848
263,4,127,1587,6489
264,4,128,1463,6883
265,4,129,1644,7503
266,4,130,2011,8873
267,4,131,1482,6187
268,4,132,1879,8120
269,4,133,2081,9459
270,4,134,2240,10082
271,4,135,1445,6042
272,4,136,1325,5277
273,4,137,2214,10040
274,4,138,1886,8412
275,4,139,2363,10641
276,4,140,2384,10317
277,4,141,2419,10664
278,4,142,2560,11357
279,4,143,1980,8375
280,4,144,2407,10730
281,4,145,2159,9597
282,5,6,1130,4422
283,5,7,1250,4675
284,5,8,1439,5701
285,5,9,1029,3848
286,5,10,802,2586
287,5,11,426,2057
288,5,12,357,1102
289,5,13,583,1994
290,5,14,326,1661
291,5,15,1408,6405
292,5,16,427,1816
293,5,17,1081,4928
294,5,18,1316,6155
295,5,19,595,2296
296,5,20,1190,4534
297,5,21,252,1016
298,5,22,1019,3733
299,5,23,1004,3876
300,5,24,1202,4548
301,5,25,508,1854
302,5,26,683,2520
303,5,27,418,1490
304,5,29,1120,5150
305,5,30,325,1575
306,5,31,1354,5142
307,5,32,407,1827
308,5,33,665,1775
309,5,34,361,1562
310,5,35,875,3295
311,5,36,446,1659
312,5,37,1568,6775
313,5,38,1315,4991
314,5,39,645,2344
315,5,40,1314,5059
316,5,41,1142,4486
317,5,42,570,2232
318,5,43,1167,4166
319,5,44,1168,4296
320,5,45,280,1004
321,5,46,177,750
322,5,47,1382,5015
323,5,48,1138,4149
324,5,49,775,2963
325,5,50,477,1934
326,5,51,671,2126
327,5,52,287,1043
328,5,53,480,1156
329,5,54,889,3291
330,5,55,166,666
331,5,56,768,2465
332,5,57,413,1143
333,5,58,780,3063
334,5,59,909,3439
335,5,60,964,3718
336,5,61,300,1144
337,5,62,419,2054
338,5,63,1150,3978
339,5,64,1101,4157
340,5,65,1521,5940
341,5,66,1275,5328
342,5,67,791,2121
343,5,68,957,3177
344,5,69,970,3767
345,5,70,1350,6016
346,5,71,1541,5673
347,5,72,1090,4473
348,5,73,1372,6155
349,5,74,1246,4715
350,5,75,896,2855
351,5,76,1005,3379
352,5,77,1909,7644
353,5,78,1574,6589
354,5,79,1376,4910
355,5,80,860,2725
356,5,81,756,2865
357,5,82,640,3002
358,5,83,1045,3600
359,5,84,1082,4140
360,5,85,1281,4357
361,5,86,498,2656
362,5,87,1184,5552
363,5,88,1246,4270
364,5,89,1390,5409
365,5,90,1162,4585
366,5,91,1010,3280
367,5,92,1964,7943
368,5,93,1553,5243
369,5,94,1518,6429
370,5,95,1167,3996
371,5,96,1235,4532
372,5,97,1165,5260
373,5,98,1368,5869
374,5,99,1015,3744
375,5,100,753,2393
376,5,101,379,1670
377,5,102,682,2472
378,5,103,306,1179
379,5,104,1279,4345
380,5,105,981,3062
381,5,106,1385,4976
382,5,107,1509,5575
383,5,108,1154,4149
384,5,109,1275,4335
385,5,110,1550,6688
386,5,111,1369,5102
387,5,112,893,3410
388,5,113,987,3700
389,5,114,1334,5093
390,5,115,1624,7165
391,5,116,739,2911
392,5,117,1043,4025
393,5,118,1561,6704
394,5,119,411,1679
395,5,120,1078,4846
396,5,121,974,4406
397,5,122,892,3722
398,5,123,847,3354
399,5,124,978,4106
400,5,125,648,2469
401,5,126,975,4469
402,5,127,1069,4356
403,5,128,1019,3281
404,5,129,1194,5337
405,5,130,1342,5029
406,5,131,1211,4190
407,5,132,1509,5443
408,5,133,1631,7294
409,5,134,1865,7890
410,5,135,1163,4044
411,5,136,1029,3359
412,5,137,1581,6412
413,5,138,1640,6216
414,5,139,1988,8448
415,5,140,2021,8018
416,5,141,2057,8365
417,5,142,2172,9025
418,5,143,1934,6865
419,5,144,2032,8538
420,5,145,1789,7284
421,6,7,867,2959
422,6,8,1818,8860
423,6,9,1118,5384
424,6,10,895,4520
425,6,11,1122,5004
426,6,12,1139,4260
427,6,13,1248,4492
428,6,14,1181,5797
429,6,15,1631,8163
430,6,16,863,2907
431,6,17,1304,6685
432,6,18,1540,7913
433,6,19,1119,5050
434,6,20,628,1777
435,6,21,861,3137
436,6,22,637,2017
437,6,23,271,821
438,6,24,818,2832
439,6,25,954,3383
440,6,26,886,3269
441,6,27,1313,5022
442,6,29,1343,6908
443,6,30,1239,5893
444,6,31,970,3426
445,6,32,906,4567
446,6,33,754,3700
447,6,34,1001,4372
448,6,35,373,1360
449,6,36,771,2346
450,6,37,1864,9645
451,6,38,290,707
452,6,39,1128,3866
453,6,40,535,1940
454,6,41,1232,6022
455,6,42,492,1737
456,6,43,720,2098
457,6,44,415,1183
458,6,45,824,4153
459,6,46,957,3624
460,6,47,437,1154
461,6,48,601,1936
462,6,49,449,1750
463,6,50,642,2246
464,6,51,1222,4389
465,6,52,732,2929
466,6,53,697,3214
467,6,54,329,1187
468,6,55,897,3235
469,6,56,1480,5407
470,6,57,964,3490
471,6,58,368,1356
472,6,59,668,2347
473,6,60,270,599
474,6,61,768,2952
475,6,62,1484,6088
476,6,63,793,3391
477,6,64,719,2441
478,6,65,1137,4224
479,6,66,1472,7024
480,6,67,883,3756
481,6,68,1049,4812
482,6,69,1380,6012
483,6,70,1573,7774
484,6,71,1219,5779
485,6,72,719,1597
486,6,73,1595,7913
487,6,74,1669,8103
488,6,75,987,4490
489,6,76,1096,5014
490,6,77,1233,5385
491,6,78,898,4330
492,6,79,1053,5016
493,6,80,832,3827
494,6,81,428,1652
495,6,82,1555,7320
496,6,83,1399,5738
497,6,84,552,2437
498,6,85,1592,5934
499,6,86,1412,6974
500,6,87,1407,7310
501,6,88,923,4377
502,6,89,1367,6415
503,6,90,485,2326
504,6,91,827,3814
505,6,92,2312,9405
506,6,93,1893,7102
507,6,94,736,3340
508,6,95,775,3783
509,6,96,1183,5668
510,6,97,1389,7017
511,6,98,585,2780
512,6,99,490,1347
513,6,100,1465,5336
514,6,101,919,4234
515,6,102,1176,4136
516,6,103,773,2987
517,6,104,1594,5946
518,6,105,1458,5751
519,6,106,1093,4378
520,6,107,1225,4956
521,6,108,1603,6646
522,6,109,1665,6966
523,6,110,1845,9558
524,6,111,344,818
525,6,112,538,1826
526,6,113,197,529
527,6,114,309,809
528,6,115,841,4076
529,6,116,322,1089
530,6,117,556,1831
531,6,118,779,3615
532,6,119,750,2741
533,6,120,2167,9045
534,6,121,1961,7992
535,6,122,1818,7070
536,6,123,1742,6887
537,6,124,1873,7639
538,6,125,1542,6001
539,6,126,1859,7686
540,6,127,1479,6601
541,6,128,841,2031
542,6,129,1418,7095
543,6,130,1191,5674
544,6,131,1292,5825
545,6,132,1311,6031
546,6,133,1855,9051
547,6,134,1671,7994
548,6,135,1069,5050
549,6,136,757,3188
550,6,137,1406,6590
551,6,138,1317,6323
552,6,139,1795,8552
553,6,140,1815,8229
554,6,141,1851,8576
555,6,142,1992,9268
556,6,143,1411,6287
557,6,144,1839,8642
558,6,145,1591,7508
559,7,8,2472,10975
560,7,9,1712,7441
561,7,10,1489,6577
562,7,11,1786,7244
563,7,12,1349,5182
564,7,13,948,3807
565,7,14,1686,6848
566,7,15,2285,10278
567,7,16,1073,3829
568,7,17,1958,8800
569,7,18,2176,10038
570,7,19,1713,7107
571,7,20,307,1318
572,7,21,1247,4490
573,7,22,212,989
574,7,23,540,1666
575,7,24,65,169
576,7,25,944,3936
577,7,26,947,3143
578,7,27,1523,5944
579,7,29,1997,9023
580,7,30,1684,6762
581,7,31,204,706
582,7,32,1717,7137
583,7,33,1399,5390
584,7,34,1757,6989
585,7,35,490,1673
586,7,36,959,3638
587,7,37,2518,11760
588,7,38,712,3126
589,7,39,880,3669
590,7,40,430,1844
591,7,41,1826,8079
592,7,42,982,2856
593,7,43,284,950
594,7,44,499,1626
595,7,45,1459,6270
596,7,46,1341,4940
597,7,47,498,1800
598,7,48,370,1223
599,7,49,720,2590
600,7,50,1143,4191
601,7,51,1023,4249
602,7,52,1234,4873
603,7,53,1214,4771
604,7,54,600,2027
605,7,55,1398,5180
606,7,56,1253,4950
607,7,57,1174,4412
608,7,58,870,3300
609,7,59,506,1584
610,7,60,936,2811
611,7,61,1269,4897
612,7,62,1779,7241
613,7,63,406,1906
614,7,64,161,694
615,7,65,372,1503
616,7,66,2066,9081
617,7,67,1477,5813
618,7,68,1643,6869
619,7,69,2106,8527
620,7,70,2203,9876
621,7,71,1855,8622
622,7,72,1287,5953
623,7,73,2335,10173
624,7,74,1959,9190
625,7,75,1581,6547
626,7,76,1858,8223
627,7,77,1869,8229
628,7,78,1534,7173
629,7,79,1690,7859
630,7,80,1468,6670
631,7,81,699,2492
632,7,82,2000,8189
633,7,83,1172,4823
634,7,84,1188,5280
635,7,85,827,3213
636,7,86,1858,7843
637,7,87,2037,9412
