id,terminal,station,latitude,longitude,primary,secondary,tertiary
3,B32006,Colleges of the Fenway,42.340021,-71.100812,Boston,Fenway,
4,C32000,Tremont St. at Berkeley St.,42.345392,-71.069616,Boston,South End,
5,B32012,Northeastern U / North Parking Lot,42.341814,-71.090179,Boston,Fenway,
6,D32000,Cambridge St. at Joy St.,42.361285,-71.06514,Boston,West End,
7,A32000,Fan Pier,42.353412,-71.044624,Boston,Seaport District,
8,A32001,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,Brookline,Union Square,
9,A32002,Agganis Arena - 925 Comm Ave.,42.351313,-71.116174,,,
10,A32003,B.U. Central - 725 Comm. Ave.,42.350075,-71.105884,,,
11,A32004,Longwood Ave / Binney St,42.338629,-71.1065,,,
12,B32002,Ruggles Station / Columbus Ave.,42.335911,-71.088496,,,
13,C32002,Boston Medical Center - 721 Mass. Ave.,42.334057,-71.07403,,,
14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,,,
15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,,,
16,C32003,Back Bay / South End Station,42.347433,-71.076163,,,
17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,42.365074,-71.119581,,,
18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,42.36337,-71.129791,,,
19,A32008,Buswell Park,42.347527,-71.105828,,,
20,B32004,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,,,
21,C32007,Prudential Center / Belvidere,42.345959,-71.082578,,,
22,A32010,South Station - 700 Atlantic Ave.,42.352175,-71.055547,,,
23,B32008,Mayor Thomas M. Menino - Government Center,42.359677,-71.059364,,,
24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,42.351821,-71.045461,,,
25,A32009,Tremont St / W Newton St,42.341332,-71.076847,,,
26,D32002,Washington St. at Waltham St.,42.341522,-71.068922,,,
27,C32001,Roxbury Crossing Station,42.331567,-71.094734,,,
29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,,,
30,B32013,Brigham Cir / Huntington Ave,42.334073,-71.105221,,,
31,B32014,Seaport Hotel,42.348833,-71.041747,,,
32,B32015,Landmark Centre,42.343912,-71.102221,,,
33,B32010,Kenmore Sq / Comm Ave,42.349046,-71.096831,,,
34,B32009,Overland St at Brookline Ave,42.346171,-71.099855,,,
35,D32004,Summer St. / Arch St.,42.354594,-71.05896,,,
36,D32005,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,,,
37,D32001,New Balance - 38 Guest St.,42.357247,-71.146452,,,
38,D32003,TD Garden - Legends Way,42.366231,-71.060868,,,
39,C32006,Washington St. at Rutland St.,42.338623,-71.074182,,,
40,D32006,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,,,
41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,,,
42,D32007,Boylston St. at Arlington St.,42.352096,-71.070378,,,
43,D32008,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,,,
44,D32009,Faneuil Hall - Union St. at North St.,42.360583,-71.056868,,,
45,B32011,Yawkey Way at Boylston St.,42.344763,-71.09788,,,
46,B32005,Christian Science Plaza,42.343864,-71.085918,,,
47,D32010,Cross St. at Hanover St.,42.362811,-71.056067,,,
48,D32012,Post Office Square,42.356755,-71.055407,,,
49,D32011,Stuart St. at Charles St.,42.351146,-71.066289,,,
50,D32013,Boylston St / Berkeley St,42.350989,-71.073644,,,
51,C32005,Washington St. at Lenox St.,42.3348756,-71.0790969,,,
52,B32000,Newbury St / Hereford St,42.348717,-71.085954,,,
53,B32016,Beacon St / Mass Ave,42.350851,-71.089886,,,
54,D32014,Tremont St / West St,42.354979,-71.063348,,,
55,B32018,Boylston / Mass Ave,42.347265,-71.088088,,,
56,B32017,Dudley Square,42.3281898,-71.0833545,,,
57,C32004,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,,,
58,D32017,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,,,
59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,,,
60,D32016,Charles Circle - Charles St. at Cambridge St.,42.360877,-71.07131,,,
61,C32008,Boylston at Fairfield,42.348323,-71.082674,,,
62,B32019,Longwood Ave/Riverway,42.340299,-71.109927,,,
63,C32009,Dorchester Ave. at Gillette Park,42.344023,-71.057054,,,
64,C32010,Congress / Sleeper,42.3511,-71.0496,,,
65,D32018,Boston Convention & Exhibition Center,42.3475,-71.0441,,,
66,A32017,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,,,
67,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,,,
68,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,,,
69,K32001,Coolidge Corner - Beacon St @ Centre St,Brookline,42.341598,-71.123338,,
70,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.372244,-71.121851,,,
71,S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,,,
72,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,,,
73,M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,,,
74,M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,,,
75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.363562,-71.10042,,,
76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,,,
77,S32001,Somerville City Hall,42.386428,-71.096413,,,
78,S32002,Union Square - Somerville,42.379637,-71.095319,,,
79,S32003,Beacon St at Washington / Kirkland,42.378551,-71.106541,,,
80,M32005,MIT Stata Center at Vassar St / Main St,42.362429,-71.090188,,,
81,D32019,Boylston St / Washington St,42.352409,-71.062679,,,
82,K32002,Brookline Town Hall / Library Washington St,Brookline,42.333689,-71.120526,,
83,C32011,South Bay Plaza,42.325941,-71.065928,,,
84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,,,
85,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,42.330825,-71.057007,,,
86,K32003,Brookline Village - Station Street @ MBTA,Brookline,42.332799,-71.116205,,
87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,,,
88,M32010,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,,,
89,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,,,
90,M32001,Lechmere Station at Cambridge St / First St,42.3707,-71.07711,,,
91,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,,,
92,C32014,University of Massachusetts Boston,42.311819,-71.035705,,,
93,C32013,JFK / UMASS Station,42.320494,-71.051122,,,
94,D32020,Charlestown - Main St at Austin St,42.375603,-71.064608,,,
95,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,,,
96,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,,,
97,M32015,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,42.369182,-71.117152,,,
98,D32021,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,,,
99,B32008,Mayor Thomas M. Menino - Government Center,42.35892,-71.057629,,,
100,B32017,Dudley Square,42.328654,-71.084198,,,
101,B32020,BIDMC - Brookline at Burlington St,42.345733,-71.100694,,,
102,C32002,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,,,
103,C32008,Boylston at Fairfield,42.348762,-71.082383,,,
104,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,,,
105,C32015,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,,,
106,C32016,West Broadway at Dorchester St,42.335693,-71.045859,,,
107,C32017,South Boston Library - 646 East Broadway,42.335741,-71.03877,,,
108,C32018,E. Cottage St at Columbia Rd,42.320561,-71.06198,,,
109,C32019,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,,,
110,D32001,New Balance - Guest St. at Life St.,42.356975,-71.145442,,,
111,D32003,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,,,
112,D32004,Franklin St. / Arch St.,42.355402,-71.058087,,,
113,D32016,Charles Circle - Charles St. at Cambridge St.,42.36069,-71.070884,,,
114,D32022,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,,,
115,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,,,
116,D32024,Charles St at Beacon St,42.356052,-71.069849,,,
117,D32025,Milk St at India St,42.358508,-71.052984,,,
118,D32026,Hayes Square at Vine St.,42.377022,-71.056605,,,
