ID,orig,dest,dist,time,speed
155,4,18,5.18,29.5,10.5
156,4,19,2.75,18.6,8.9
157,4,20,1.64,11.7,8.4
158,4,21,1.05,6.7,9.4
159,4,22,1.32,11.2,7.1
160,4,23,1.39,9.6,8.6
161,4,24,1.83,14.2,7.7
162,4,25,0.48,2.6,11.0
163,4,26,0.38,3.0,7.8
164,4,27,1.95,11.3,10.3
165,4,29,4.55,26.6,10.3
166,4,30,2.46,14.0,10.5
167,4,31,2.2,16.8,7.9
168,4,32,2.58,16.2,9.6
169,4,33,2.24,16.9,8.0
170,4,34,2.3,14.7,9.4
171,4,35,1.05,8.8,7.2
172,4,36,0.8,5.9,8.1
173,4,37,6.25,35.2,10.7
174,4,38,2.02,13.7,8.8
175,4,39,0.74,5.0,8.8
176,4,40,1.97,13.8,8.6
177,4,41,3.97,23.7,10.0
178,4,42,0.63,6.0,6.3
179,4,43,1.59,13.7,7.0
180,4,44,1.66,12.1,8.2
181,4,45,2.25,14.2,9.5
182,4,46,1.32,8.3,9.6
183,4,47,1.85,13.7,8.1
184,4,48,1.54,10.7,8.6
185,4,49,0.46,5.1,5.4
186,4,50,1.03,7.5,8.2
187,4,51,1.07,6.7,9.7
188,4,52,1.38,8.7,9.5
189,4,53,1.86,13.8,8.1
190,4,54,1.02,7.7,7.9
191,4,55,1.59,11.1,8.6
192,4,56,1.7,11.0,9.3
193,4,57,1.0,5.5,10.9
194,4,58,1.0,7.8,7.7
195,4,59,0.81,8.1,6.0
196,4,60,1.69,12.5,8.1
197,4,61,1.44,8.9,9.7
198,4,62,2.75,15.6,10.6
199,4,63,1.08,8.5,7.6
200,4,64,1.59,12.6,7.6
201,4,65,2.45,17.3,8.5
202,4,66,4.64,29.9,9.3
203,4,67,2.56,17.9,8.6
204,4,68,3.22,20.6,9.3
205,4,69,3.67,24.8,8.9
206,4,70,5.08,30.0,10.2
207,4,71,4.89,29.8,9.8
208,4,72,4.01,22.3,10.8
209,4,73,5.27,32.2,9.8
210,4,74,5.29,31.6,10.0
211,4,75,3.01,19.6,9.2
212,4,76,3.34,21.4,9.3
213,4,77,4.64,30.0,9.3
214,4,78,3.99,24.4,9.8
215,4,79,4.41,27.0,9.8
216,4,80,2.93,19.0,9.3
217,4,81,0.79,6.8,6.9
218,4,82,3.34,19.2,10.4
219,4,83,1.85,11.7,9.5
220,4,84,2.81,18.7,9.0
221,4,85,1.75,12.7,8.3
222,4,86,3.13,16.9,11.1
223,4,87,4.8,27.2,10.6
224,4,88,4.02,24.9,9.7
225,4,89,5.62,33.7,10.0
226,4,90,2.74,17.6,9.4
227,4,91,3.28,21.5,9.1
228,4,92,4.39,28.0,9.4
229,4,93,2.76,19.1,8.6
230,4,94,3.37,21.7,9.3
231,4,95,3.65,22.4,9.8
232,4,96,5.2,31.7,9.8
233,4,97,4.61,26.9,10.3
234,4,98,3.02,19.2,9.4
235,4,99,1.3,9.8,8.0
236,4,100,1.66,10.7,9.3
237,4,101,2.36,15.0,9.5
238,4,102,0.92,5.9,9.3
239,4,103,1.46,9.0,9.7
240,4,104,1.76,12.7,8.3
241,4,105,2.03,13.8,8.8
242,4,106,1.7,12.4,8.2
243,4,107,2.07,14.5,8.6
244,4,108,2.42,15.1,9.6
245,4,109,2.62,16.1,9.7
246,4,110,6.2,34.9,10.6
247,4,111,2.09,14.6,8.6
248,4,112,1.12,9.1,7.4
249,4,113,1.68,12.9,7.8
250,4,114,2.08,14.1,8.9
251,4,115,3.83,23.5,9.8
252,4,116,0.83,6.9,7.2
253,4,117,1.49,10.0,8.9
254,4,118,3.54,22.4,9.5
255,4,119,0.87,6.4,8.1
256,4,120,4.45,25.5,10.5
257,4,121,3.79,22.1,10.3
258,4,122,3.22,19.7,9.8
259,4,123,3.11,18.4,10.1
260,4,124,3.57,20.6,10.4
261,4,125,2.56,15.1,10.1
262,4,126,4.26,24.8,10.3
263,4,127,4.03,26.4,9.1
264,4,128,4.28,24.4,10.5
265,4,129,4.66,27.4,10.2
266,4,130,5.51,33.5,9.9
267,4,131,3.84,24.7,9.3
268,4,132,5.05,31.3,9.7
269,4,133,5.88,34.7,10.2
270,4,134,6.26,37.3,10.1
271,4,135,3.75,24.1,9.4
272,4,136,3.28,22.1,8.9
273,4,137,6.24,36.9,10.1
274,4,138,5.23,31.4,10.0
275,4,139,6.61,39.4,10.1
276,4,140,6.41,39.7,9.7
277,4,141,6.63,40.3,9.9
278,4,142,7.06,42.7,9.9
279,4,143,5.2,33.0,9.5
280,4,144,6.67,40.1,10.0
281,4,145,5.96,36.0,9.9
282,5,6,2.75,18.8,8.8
283,5,7,2.9,20.8,8.4
284,5,8,3.54,24.0,8.9
285,5,9,2.39,17.1,8.4
286,5,10,1.61,13.4,7.2
287,5,11,1.28,7.1,10.8
288,5,12,0.68,6.0,6.9
289,5,13,1.24,9.7,7.7
290,5,14,1.03,5.4,11.4
291,5,15,3.98,23.5,10.2
292,5,16,1.13,7.1,9.5
293,5,17,3.06,18.0,10.2
294,5,18,3.82,21.9,10.5
295,5,19,1.43,9.9,8.6
296,5,20,2.82,19.8,8.5
297,5,21,0.63,4.2,9.0
298,5,22,2.32,17.0,8.2
299,5,23,2.41,16.7,8.6
300,5,24,2.83,20.0,8.5
301,5,25,1.15,8.5,8.2
302,5,26,1.57,11.4,8.3
303,5,27,0.93,7.0,8.0
304,5,29,3.2,18.7,10.3
305,5,30,0.98,5.4,10.8
306,5,31,3.2,22.6,8.5
307,5,32,1.14,6.8,10.0
308,5,33,1.1,11.1,6.0
309,5,34,0.97,6.0,9.7
310,5,35,2.05,14.6,8.4
311,5,36,1.03,7.4,8.3
312,5,37,4.21,26.1,9.7
313,5,38,3.1,21.9,8.5
314,5,39,1.46,10.8,8.1
315,5,40,3.14,21.9,8.6
316,5,41,2.79,19.0,8.8
317,5,42,1.39,9.5,8.8
318,5,43,2.59,19.4,8.0
319,5,44,2.67,19.5,8.2
320,5,45,0.62,4.7,8.0
321,5,46,0.47,3.0,9.5
322,5,47,3.12,23.0,8.1
323,5,48,2.58,19.0,8.2
324,5,49,1.84,12.9,8.6
325,5,50,1.2,8.0,9.1
326,5,51,1.32,11.2,7.1
327,5,52,0.65,4.8,8.1
328,5,53,0.72,8.0,5.4
329,5,54,2.04,14.8,8.3
330,5,55,0.41,2.8,9.0
331,5,56,1.53,12.8,7.2
332,5,57,0.71,6.9,6.2
333,5,58,1.9,13.0,8.8
334,5,59,2.14,15.2,8.5
335,5,60,2.31,16.1,8.6
336,5,61,0.71,5.0,8.5
337,5,62,1.28,7.0,11.0
338,5,63,2.47,19.2,7.7
339,5,64,2.58,18.4,8.4
340,5,65,3.69,25.4,8.7
341,5,66,3.31,21.2,9.3
342,5,67,1.32,13.2,6.0
343,5,68,1.97,15.9,7.4
344,5,69,2.34,16.2,8.7
345,5,70,3.74,22.5,10.0
346,5,71,3.53,25.7,8.2
347,5,72,2.78,18.2,9.2
348,5,73,3.82,22.9,10.0
349,5,74,2.93,20.8,8.5
350,5,75,1.77,14.9,7.1
351,5,76,2.1,16.8,7.5
352,5,77,4.75,31.8,9.0
353,5,78,4.09,26.2,9.4
354,5,79,3.05,22.9,8.0
355,5,80,1.69,14.3,7.1
356,5,81,1.78,12.6,8.5
357,5,82,1.87,10.7,10.5
358,5,83,2.24,17.4,7.7
359,5,84,2.57,18.0,8.6
360,5,85,2.71,21.4,7.6
361,5,86,1.65,8.3,11.9
362,5,87,3.45,19.7,10.5
363,5,88,2.65,20.8,7.7
364,5,89,3.36,23.2,8.7
365,5,90,2.85,19.4,8.8
366,5,91,2.04,16.8,7.3
367,5,92,4.94,32.7,9.0
368,5,93,3.26,25.9,7.6
369,5,94,3.99,25.3,9.5
370,5,95,2.48,19.4,7.7
371,5,96,2.82,20.6,8.2
372,5,97,3.27,19.4,10.1
373,5,98,3.65,22.8,9.6
374,5,99,2.33,16.9,8.3
375,5,100,1.49,12.6,7.1
376,5,101,1.04,6.3,9.9
377,5,102,1.54,11.4,8.1
378,5,103,0.73,5.1,8.6
379,5,104,2.7,21.3,7.6
380,5,105,1.9,16.4,7.0
381,5,106,3.09,23.1,8.0
382,5,107,3.46,25.1,8.3
383,5,108,2.58,19.2,8.0
384,5,109,2.69,21.2,7.6
385,5,110,4.16,25.8,9.7
386,5,111,3.17,22.8,8.3
387,5,112,2.12,14.9,8.5
388,5,113,2.3,16.4,8.4
389,5,114,3.16,22.2,8.5
390,5,115,4.45,27.1,9.9
391,5,116,1.81,12.3,8.8
392,5,117,2.5,17.4,8.6
393,5,118,4.17,26.0,9.6
394,5,119,1.04,6.8,9.1
395,5,120,3.01,18.0,10.1
396,5,121,2.74,16.2,10.1
397,5,122,2.31,14.9,9.3
398,5,123,2.08,14.1,8.9
399,5,124,2.55,16.3,9.4
400,5,125,1.53,10.8,8.5
401,5,126,2.78,16.2,10.3
402,5,127,2.71,17.8,9.1
403,5,128,2.04,17.0,7.2
404,5,129,3.32,19.9,10.0
405,5,130,3.12,22.4,8.4
406,5,131,2.6,20.2,7.7
407,5,132,3.38,25.1,8.1
408,5,133,4.53,27.2,10.0
409,5,134,4.9,31.1,9.5
410,5,135,2.51,19.4,7.8
411,5,136,2.09,17.1,7.3
412,5,137,3.98,26.4,9.1
413,5,138,3.86,27.3,8.5
414,5,139,5.25,33.1,9.5
415,5,140,4.98,33.7,8.9
416,5,141,5.2,34.3,9.1
