38,119,91,91,ZERO_RESULTS
38,118,92,92,ZERO_RESULTS
38,111,93,93,ZERO_RESULTS
38,110,94,94,ZERO_RESULTS
38,113,95,95,ZERO_RESULTS
38,112,96,96,ZERO_RESULTS
38,115,97,97,ZERO_RESULTS
38,114,98,98,ZERO_RESULTS
38,117,99,99,ZERO_RESULTS
38,116,100,100,ZERO_RESULTS
24,38,164,164,ZERO_RESULTS
30,38,239,239,ZERO_RESULTS
65,131,253,253,ZERO_RESULTS
65,130,254,254,ZERO_RESULTS
65,133,255,255,ZERO_RESULTS
65,132,256,256,ZERO_RESULTS
65,135,257,257,ZERO_RESULTS
65,134,258,258,ZERO_RESULTS
65,137,259,259,ZERO_RESULTS
65,136,260,260,ZERO_RESULTS
65,139,261,261,ZERO_RESULTS
65,138,262,262,ZERO_RESULTS
38,105,332,332,ZERO_RESULTS
34,38,424,424,ZERO_RESULTS
38,133,467,467,ZERO_RESULTS
38,132,468,468,ZERO_RESULTS
38,131,469,469,ZERO_RESULTS
38,130,470,470,ZERO_RESULTS
38,137,471,471,ZERO_RESULTS
38,136,472,472,ZERO_RESULTS
38,135,473,473,ZERO_RESULTS
38,134,474,474,ZERO_RESULTS
38,139,477,477,ZERO_RESULTS
38,138,478,478,ZERO_RESULTS
21,38,488,488,ZERO_RESULTS
65,119,580,580,ZERO_RESULTS
65,118,581,581,ZERO_RESULTS
65,113,583,583,ZERO_RESULTS
65,112,584,584,ZERO_RESULTS
65,111,585,585,ZERO_RESULTS
65,110,586,586,ZERO_RESULTS
65,117,587,587,ZERO_RESULTS
65,116,588,588,ZERO_RESULTS
65,115,589,589,ZERO_RESULTS
65,114,590,590,ZERO_RESULTS
36,38,671,671,ZERO_RESULTS
38,145,902,902,ZERO_RESULTS
6,38,940,940,ZERO_RESULTS
38,140,949,949,ZERO_RESULTS
38,88,1222,1222,ZERO_RESULTS
38,89,1223,1223,ZERO_RESULTS
38,82,1224,1224,ZERO_RESULTS
38,83,1225,1225,ZERO_RESULTS
38,80,1226,1226,ZERO_RESULTS
38,81,1227,1227,ZERO_RESULTS
38,86,1228,1228,ZERO_RESULTS
38,87,1229,1229,ZERO_RESULTS
38,84,1230,1230,ZERO_RESULTS
38,85,1231,1231,ZERO_RESULTS
65,88,1242,1242,ZERO_RESULTS
65,89,1243,1243,ZERO_RESULTS
65,84,1244,1244,ZERO_RESULTS
65,85,1245,1245,ZERO_RESULTS
65,86,1246,1246,ZERO_RESULTS
65,87,1247,1247,ZERO_RESULTS
65,80,1248,1248,ZERO_RESULTS
65,81,1249,1249,ZERO_RESULTS
65,82,1250,1250,ZERO_RESULTS
65,83,1251,1251,ZERO_RESULTS
4,38,1307,1307,ZERO_RESULTS
38,48,1711,1711,ZERO_RESULTS
22,38,1745,1745,ZERO_RESULTS
26,38,1822,1822,ZERO_RESULTS
38,49,2099,2099,ZERO_RESULTS
38,46,2100,2100,ZERO_RESULTS
38,47,2101,2101,ZERO_RESULTS
38,44,2102,2102,ZERO_RESULTS
38,45,2103,2103,ZERO_RESULTS
38,42,2104,2104,ZERO_RESULTS
38,43,2105,2105,ZERO_RESULTS
38,40,2106,2106,ZERO_RESULTS
38,41,2107,2107,ZERO_RESULTS
23,38,2507,2506,ZERO_RESULTS
38,64,2527,2526,ZERO_RESULTS
38,65,2528,2527,ZERO_RESULTS
38,66,2529,2528,ZERO_RESULTS
38,67,2530,2529,ZERO_RESULTS
38,60,2531,2530,ZERO_RESULTS
38,61,2532,2531,ZERO_RESULTS
38,62,2533,2532,ZERO_RESULTS
38,63,2534,2533,ZERO_RESULTS
38,68,2536,2535,ZERO_RESULTS
38,69,2537,2536,ZERO_RESULTS
27,38,2599,2598,ZERO_RESULTS
10,38,2771,2770,ZERO_RESULTS
9,38,2780,2779,ZERO_RESULTS
31,38,2791,2790,ZERO_RESULTS
20,38,2861,2860,ZERO_RESULTS
35,38,3042,3041,ZERO_RESULTS
65,66,3176,3175,ZERO_RESULTS
65,67,3177,3176,ZERO_RESULTS
65,68,3178,3177,ZERO_RESULTS
65,69,3179,3178,ZERO_RESULTS
38,144,4326,4325,ZERO_RESULTS
38,142,4328,4327,ZERO_RESULTS
38,143,4329,4328,ZERO_RESULTS
8,38,4461,4460,ZERO_RESULTS
19,38,4566,4565,ZERO_RESULTS
3,38,4597,4596,ZERO_RESULTS
65,140,4773,4772,ZERO_RESULTS
65,141,4774,4773,ZERO_RESULTS
65,142,4775,4774,ZERO_RESULTS
65,143,4776,4775,ZERO_RESULTS
65,144,4777,4776,ZERO_RESULTS
65,145,4778,4777,ZERO_RESULTS
11,38,4807,4806,ZERO_RESULTS
