ID,orig,dest,duration,distance
1178,118,124,2471,10789
1179,118,125,2141,9151
1180,118,122,2416,10219
1181,118,123,2341,10036
1182,118,120,2670,11549
1183,118,121,2567,11109
1184,118,128,858,3941
1185,118,129,1505,7102
1186,44,89,1487,6744
1187,44,88,1043,4707
1188,78,143,513,1957
1189,44,81,433,1488
1190,44,80,952,4156
1191,44,83,1186,4703
1192,44,82,1734,7185
1193,44,85,1307,4897
1194,44,84,672,2767
1195,44,87,1809,8730
1196,44,86,1592,6839
1197,21,71,1427,5596
1198,21,70,1466,6154
1199,21,73,1598,6451
1200,21,72,976,4396
1201,21,75,782,2778
1202,21,74,1132,4639
1203,21,77,1795,7568
1204,21,76,891,3302
1205,124,141,2909,12714
1206,21,78,1460,6512
1207,124,143,2786,11214
1208,124,142,3024,13374
1209,124,145,2642,11633
1210,124,144,2885,12887
1211,78,145,634,2901
1212,23,108,1342,5858
1213,23,109,1394,6134
1214,23,106,883,3835
1215,23,107,1015,4413
1216,23,104,986,4383
1217,23,105,1321,5357
1218,23,102,890,3481
1219,23,103,866,3698
1220,23,100,1246,4925
1221,23,101,1093,4884
1232,123,133,2631,11325
1233,123,132,2278,9259
1234,123,131,1981,8006
1235,123,130,2111,8845
1236,123,137,2351,10228
1237,123,136,1798,7176
1238,123,135,1932,7860
1239,123,134,2634,11706
1240,123,139,2757,12265
1241,123,138,2409,10033
1252,14,48,1505,5824
1253,14,49,1142,4638
1254,14,40,1681,6734
1255,14,41,885,3124
1256,14,42,937,3906
1257,14,43,1534,5840
1258,14,44,1536,5971
1259,14,45,381,1411
1260,14,46,515,1971
1261,14,47,1749,6690
1262,131,132,903,3469
1263,131,133,910,3887
1264,131,136,748,3175
1265,131,137,976,4437
1266,131,134,1259,5915
1267,131,135,488,2067
1268,131,138,982,4353
1269,131,139,1382,6474
1270,47,80,987,4255
1271,47,81,535,1890
1272,6,78,898,4330
1273,47,82,1835,7586
1274,47,83,1287,5105
1275,47,84,708,2865
1276,47,85,1363,4850
1277,47,86,1693,7240
1278,25,144,2191,9373
1279,25,145,1948,8119
1280,47,87,1844,8829
1281,25,140,2180,8854
1282,25,141,2215,9201
1283,25,142,2331,9861
1284,25,143,2093,7700
1285,66,70,919,3284
1286,66,71,1391,5269
1287,66,72,1487,6573
1288,66,73,1022,3566
1289,66,74,1219,4528
1290,66,75,999,3882
1291,66,76,1205,4711
1292,66,77,1763,6304
1293,66,78,1467,5683
1294,66,79,1263,4782
1295,72,91,168,772
1296,39,63,598,1992
1297,39,62,855,3754
1298,39,61,532,1954
1299,39,60,1056,3885
1300,39,67,1061,3277
1301,39,66,1715,6782
1302,39,65,1126,4199
1303,39,64,822,3188
1304,39,69,1409,5222
1305,39,68,1227,4333
1306,4,39,301,1188
1308,4,35,528,1694
1309,4,34,879,3695
1310,4,37,2114,10066
1311,4,36,354,1289
1312,4,31,1007,3541
1313,4,30,839,3953
1314,4,33,1013,3610
1315,4,32,972,4160
1316,47,53,1098,4687
1317,47,52,1250,5145
1318,47,51,1146,4304
1319,47,50,1148,4474
1320,47,57,1009,3809
1321,47,56,1380,5310
1322,47,55,1341,5097
1323,47,54,436,1424
1324,47,59,484,1711
1325,47,58,776,3174
1326,27,59,1195,4633
1327,27,58,1079,4796
1328,27,55,558,2155
1329,27,54,1175,4484
1330,27,57,338,1546
1331,27,56,319,1027
1332,27,51,466,1786
1333,27,50,763,3127
1334,27,53,779,2889
1335,27,52,587,2775
1336,30,91,1430,5583
1337,30,90,1582,6889
1338,30,93,1682,6243
1339,30,92,2092,8944
1340,30,95,1588,6299
1341,30,94,1938,8733
1342,30,97,1595,4960
1343,30,96,1655,6836
1344,30,99,1435,6048
1345,30,98,1788,8172
1346,91,134,1067,4810
1347,91,135,321,1227
1348,91,136,160,620
1349,91,137,802,3407
1350,91,130,542,2342
1351,91,131,647,2641
1352,91,132,707,2848
1353,91,133,884,3403
1354,91,138,713,3140
1355,91,139,1190,5369
1356,40,107,1314,4907
1357,40,106,1185,4328
1358,40,105,1424,5498
1359,99,128,947,3851
1360,40,103,1301,5425
1361,40,102,1048,4172
1362,40,101,1539,6932
1363,40,100,1404,5617
1364,40,109,1694,6627
1365,40,108,1588,6146
1366,99,122,1642,6709
1367,12,64,1238,4604
1368,12,65,1658,6387
1369,12,66,1330,5089
1370,12,67,941,3107
1371,12,60,1114,4704
1372,12,61,450,2130
1373,12,62,540,2081
1374,12,63,1049,3611
1375,17,41,759,2970
1376,17,40,1944,8881
1377,17,43,1969,8245
1378,17,42,1348,6294
1379,12,68,1107,4163
1380,12,69,1025,3528
1381,17,47,1868,8157
1382,17,46,1529,6508
1383,99,124,1697,7279
1384,69,99,1566,6264
1385,69,98,1904,8368
1386,69,97,1130,4385
1387,69,96,1419,5335
1388,69,95,1535,5031
1389,69,94,2054,8929
1390,69,93,2161,8330
1391,69,92,2572,11030
1392,69,91,1491,4932
1393,69,90,1678,7247
1394,40,85,1284,4863
1395,40,84,758,3437
1396,111,118,565,1674
1397,111,119,1063,4397
1398,40,81,633,2562
