to,from,ID
74,141,466
38,133,467
38,132,468
38,131,469
38,130,470
38,137,471
38,136,472
38,135,473
38,134,474
79,143,475
79,142,476
38,139,477
38,138,478
79,145,479
79,144,480
70,142,481
70,143,482
70,140,483
70,141,484
70,144,485
70,145,486
21,39,487
21,38,488
21,35,489
21,34,490
21,37,491
21,36,492
21,31,493
21,30,494
21,33,495
21,32,496
88,118,497
88,119,498
88,114,499
88,115,500
88,116,501
88,117,502
88,110,503
88,111,504
88,112,505
88,113,506
11,112,507
23,95,508
23,94,509
56,71,510
23,96,511
56,77,512
23,90,513
23,93,514
23,92,515
56,79,516
56,78,517
23,99,518
23,98,519
82,85,520
82,84,521
90,116,522
64,105,523
64,104,524
64,107,525
64,106,526
94,117,527
94,116,528
27,99,529
27,98,530
33,121,531
33,120,532
18,122,533
18,123,534
18,120,535
18,121,536
27,91,537
27,90,538
27,93,539
33,128,540
27,95,541
27,94,542
27,97,543
27,96,544
25,108,545
25,109,546
25,100,547
25,101,548
25,102,549
25,103,550
25,104,551
25,105,552
25,106,553
25,107,554
40,48,555
9,129,556
9,128,557
9,127,558
9,126,559
9,125,560
9,124,561
9,123,562
9,122,563
9,121,564
9,120,565
55,65,566
55,64,567
55,67,568
55,66,569
55,61,570
55,60,571
55,63,572
55,62,573
55,69,574
55,68,575
17,49,576
17,48,577
74,99,578
63,102,579
65,119,580
65,118,581
63,103,582
65,113,583
65,112,584
65,111,585
65,110,586
65,117,587
65,116,588
65,115,589
65,114,590
26,56,591
26,57,592
26,54,593
26,55,594
26,52,595
26,53,596
26,50,597
26,51,598
63,106,599
74,98,600
19,121,601
26,58,602
26,59,603
11,119,604
19,120,605
63,104,606
19,127,607
63,105,608
19,126,609
32,66,610
32,67,611
10,85,612
32,65,613
32,62,614
13,50,615
32,60,616
32,61,617
19,124,618
32,68,619
32,69,620
46,58,621
46,59,622
46,54,623
46,55,624
46,56,625
46,57,626
46,50,627
46,51,628
46,52,629
46,53,630
116,120,631
116,121,632
116,122,633
116,123,634
116,124,635
116,125,636
116,126,637
104,139,638
116,128,639
104,137,640
104,134,641
104,135,642
104,132,643
104,133,644
104,130,645
104,131,646
5,43,647
5,42,648
5,41,649
5,40,650
5,47,651
5,46,652
5,45,653
5,44,654
5,49,655
5,48,656
6,142,657
36,37,658
60,90,659
60,91,660
60,92,661
60,93,662
60,94,663
60,95,664
60,96,665
60,97,666
60,98,667
60,99,668
6,140,669
36,39,670
36,38,671
81,145,672
81,142,673
86,138,674
86,139,675
86,130,676
86,131,677
86,132,678
86,133,679
86,134,680
86,135,681
86,136,682
86,137,683
17,45,684
49,103,685
85,115,686
85,114,687
85,117,688
85,116,689
85,111,690
85,110,691
85,113,692
85,112,693
85,119,694
85,118,695
43,99,696
43,98,697
43,93,698
43,92,699
43,91,700
43,90,701
43,97,702
43,96,703
43,95,704
43,94,705
27,64,706
27,65,707
5,109,708
5,108,709
34,59,710
34,58,711
34,51,712
34,50,713
34,53,714
34,52,715
34,55,716
34,54,717
34,57,718
34,56,719
5,105,720
5,104,721
5,107,722
5,106,723
27,68,724
27,69,725
7,118,726
7,119,727
5,103,728
7,110,729
7,111,730
7,112,731
7,113,732
7,114,733
7,115,734
81,140,735
81,141,736
13,132,737
13,133,738
13,130,739
13,131,740
13,136,741
13,137,742
13,134,743
13,135,744
13,138,745
13,139,746
49,117,747
49,116,748
49,111,749
49,110,750
49,113,751
16,70,752
49,112,753
55,134,754
55,135,755
55,136,756
55,137,757
55,130,758
55,131,759
55,132,760
55,133,761
55,138,762
55,139,763
128,134,764
128,135,765
128,136,766
128,137,767
128,130,768
128,131,769
128,132,770
128,133,771
128,138,772
128,139,773
92,145,774
64,98,775
64,99,776
64,94,777
64,95,778
64,96,779
64,97,780
64,90,781
64,91,782
64,92,783
64,93,784
92,140,785
8,23,786
92,141,787
62,67,788
62,66,789
10,78,790
62,65,791
132,139,792
132,138,793
132,135,794
132,134,795
132,137,796
132,136,797
132,133,798
10,76,799
62,64,800
10,71,801
31,98,802
31,99,803
31,92,804
31,93,805
31,90,806
31,91,807
31,96,808
31,97,809
31,94,810
31,95,811
14,62,812
14,63,813
14,60,814
14,61,815
14,66,816
14,67,817
14,64,818
14,65,819
14,68,820
14,69,821
18,100,822
18,101,823
18,102,824
18,103,825
18,104,826
18,105,827
18,106,828
18,107,829
18,108,830
18,109,831
7,92,832
7,93,833
7,90,834
7,91,835
7,96,836
7,97,837
7,94,838
7,95,839
7,98,840
7,99,841
42,70,842
5,87,843
42,71,844
5,86,845
8,68,846
26,131,847
5,83,848
5,82,849
39,45,850
39,44,851
39,47,852
39,46,853
40,129,854
40,128,855
39,43,856
39,42,857
40,125,858
40,124,859
40,127,860
40,126,861
40,121,862
40,120,863
40,123,864
40,122,865
4,17,866
4,16,867
4,15,868
4,14,869
4,13,870
4,12,871
4,11,872
4,10,873
15,89,874
15,88,875
26,138,876
4,19,877
4,18,878
47,75,879
47,74,880
47,77,881
26,139,882
47,71,883
47,70,884
47,73,885
47,72,886
47,79,887
47,78,888
5,89,889
8,65,890
91,118,891
91,119,892
9,73,893
91,112,894
91,113,895
91,110,896
91,111,897
91,116,898
91,117,899
91,114,900
91,115,901
38,145,902
26,78,903
26,79,904
26,74,905
26,75,906
26,76,907
26,77,908
26,70,909
26,71,910
26,72,911
26,73,912
77,87,913
77,86,914
77,85,915
77,84,916
77,83,917
77,82,918
77,81,919
77,80,920
77,89,921
77,88,922
17,23,923
17,22,924
17,21,925
17,20,926
17,27,927
17,26,928
17,25,929
17,24,930
32,44,931
32,45,932
17,29,933
32,47,934
32,40,935
32,41,936
32,42,937
32,43,938
6,39,939
6,38,940
6,37,941
6,36,942
6,35,943
6,34,944
6,33,945
6,32,946
6,31,947
6,30,948
38,140,949
6,48,950
6,49,951
111,130,952
111,131,953
111,132,954
111,133,955
111,134,956
111,135,957
111,136,958
111,137,959
111,138,960
111,139,961
5,63,962
5,62,963
5,65,964
5,64,965
5,67,966
5,66,967
6,45,968
12,33,969
6,43,970
6,40,971
60,78,972
60,79,973
60,76,974
60,77,975
60,74,976
60,75,977
60,72,978
60,73,979
60,70,980
60,71,981
15,116,982
15,117,983
15,114,984
15,115,985
15,112,986
15,113,987
15,110,988
15,111,989
15,118,990
15,119,991
100,103,992
100,102,993
100,101,994
100,107,995
100,106,996
100,105,997
100,104,998
100,109,999
100,108,1000
112,137,1001
112,136,1002
112,135,1003
112,134,1004
112,133,1005
112,132,1006
112,131,1007
112,130,1008
112,139,1009
112,138,1010
13,27,1011
13,26,1012
13,25,1013
13,24,1014
13,23,1015
13,22,1016
13,21,1017
13,20,1018
13,29,1019
35,99,1020
93,98,1021
93,99,1022
93,96,1023
93,97,1024
93,94,1025
93,95,1026
39,145,1027
39,144,1028
39,143,1029
39,142,1030
39,141,1031
39,140,1032
85,88,1033
85,89,1034
85,86,1035
85,87,1036
35,90,1037
73,140,1038
73,143,1039
35,91,1040
61,80,1041
61,81,1042
61,82,1043
61,83,1044
61,84,1045
61,85,1046
61,86,1047
61,87,1048
61,88,1049
61,89,1050
73,144,1051
61,128,1052
61,129,1053
61,126,1054
61,127,1055
61,124,1056
61,125,1057
61,122,1058
61,123,1059
61,120,1060
61,121,1061
48,143,1062
48,142,1063
48,141,1064
48,140,1065
48,145,1066
48,144,1067
71,102,1068
19,89,1069
19,88,1070
19,87,1071
19,86,1072
19,85,1073
19,84,1074
19,83,1075
19,82,1076
19,81,1077
19,80,1078
58,88,1079
58,89,1080
85,139,1081
85,138,1082
85,137,1083
85,136,1084
85,135,1085
58,87,1086
85,133,1087
58,81,1088
58,82,1089
58,83,1090
34,77,1091
34,76,1092
34,75,1093
34,74,1094
34,73,1095
34,72,1096
34,71,1097
34,70,1098
34,79,1099
34,78,1100
79,141,1101
33,108,1102
79,140,1103
77,101,1104
77,100,1105
77,103,1106
77,102,1107
77,105,1108
77,104,1109
77,107,1110
77,106,1111
77,109,1112
77,108,1113
73,83,1114
73,82,1115
73,81,1116
73,80,1117
73,87,1118
73,86,1119
73,85,1120
73,84,1121
73,89,1122
73,88,1123
33,104,1124
35,98,1125
16,85,1126
13,118,1127
13,119,1128
13,114,1129
13,115,1130
13,116,1131
13,117,1132
13,110,1133
13,111,1134
13,112,1135
13,113,1136
16,80,1137
16,81,1138
45,64,1139
45,65,1140
45,66,1141
32,135,1142
32,134,1143
32,137,1144
32,136,1145
32,131,1146
32,130,1147
32,133,1148
32,132,1149
45,60,1150
32,139,1151
32,138,1152
45,61,1153
16,88,1154
16,89,1155
74,108,1156
74,109,1157
74,102,1158
74,103,1159
74,100,1160
74,101,1161
74,106,1162
74,107,1163
74,104,1164
74,105,1165
37,69,1166
37,68,1167
37,61,1168
37,60,1169
37,63,1170
37,62,1171
37,65,1172
37,64,1173
37,67,1174
37,66,1175
118,126,1176
118,127,1177
118,124,1178
118,125,1179
118,122,1180
118,123,1181
118,120,1182
118,121,1183
118,128,1184
118,129,1185
44,89,1186
44,88,1187
78,143,1188
44,81,1189
44,80,1190
44,83,1191
44,82,1192
44,85,1193
44,84,1194
44,87,1195
44,86,1196
21,71,1197
21,70,1198
21,73,1199
21,72,1200
21,75,1201
21,74,1202
21,77,1203
21,76,1204
124,141,1205
21,78,1206
124,143,1207
124,142,1208
124,145,1209
124,144,1210
78,145,1211
23,108,1212
23,109,1213
23,106,1214
23,107,1215
23,104,1216
23,105,1217
23,102,1218
23,103,1219
23,100,1220
23,101,1221
38,88,1222
38,89,1223
38,82,1224
38,83,1225
38,80,1226
38,81,1227
38,86,1228
38,87,1229
38,84,1230
38,85,1231
123,133,1232
123,132,1233
123,131,1234
123,130,1235
123,137,1236
123,136,1237
123,135,1238
123,134,1239
123,139,1240
123,138,1241
65,88,1242
65,89,1243
65,84,1244
65,85,1245
65,86,1246
65,87,1247
65,80,1248
65,81,1249
65,82,1250
65,83,1251
14,48,1252
14,49,1253
14,40,1254
14,41,1255
14,42,1256
14,43,1257
14,44,1258
14,45,1259
14,46,1260
14,47,1261
131,132,1262
131,133,1263
131,136,1264
131,137,1265
131,134,1266
131,135,1267
131,138,1268
131,139,1269
47,80,1270
47,81,1271
6,78,1272
47,82,1273
47,83,1274
47,84,1275
47,85,1276
47,86,1277
25,144,1278
25,145,1279
47,87,1280
25,140,1281
25,141,1282
25,142,1283
25,143,1284
66,70,1285
66,71,1286
66,72,1287
66,73,1288
66,74,1289
66,75,1290
66,76,1291
66,77,1292
66,78,1293
66,79,1294
72,91,1295
39,63,1296
39,62,1297
39,61,1298
39,60,1299
39,67,1300
39,66,1301
39,65,1302
39,64,1303
39,69,1304
39,68,1305
4,39,1306
4,38,1307
4,35,1308
4,34,1309
4,37,1310
4,36,1311
4,31,1312
4,30,1313
4,33,1314
4,32,1315
47,53,1316
47,52,1317
47,51,1318
47,50,1319
47,57,1320
47,56,1321
47,55,1322
47,54,1323
47,59,1324
47,58,1325
27,59,1326
27,58,1327
27,55,1328
27,54,1329
27,57,1330
27,56,1331
27,51,1332
27,50,1333
27,53,1334
27,52,1335
30,91,1336
30,90,1337
30,93,1338
30,92,1339
30,95,1340
30,94,1341
30,97,1342
30,96,1343
30,99,1344
30,98,1345
91,134,1346
91,135,1347
91,136,1348
91,137,1349
91,130,1350
91,131,1351
91,132,1352
91,133,1353
91,138,1354
91,139,1355
40,107,1356
40,106,1357
40,105,1358
99,128,1359
40,103,1360
40,102,1361
40,101,1362
40,100,1363
40,109,1364
40,108,1365
99,122,1366
12,64,1367
12,65,1368
12,66,1369
12,67,1370
12,60,1371
12,61,1372
12,62,1373
12,63,1374
17,41,1375
17,40,1376
17,43,1377
17,42,1378
12,68,1379
12,69,1380
17,47,1381
17,46,1382
99,124,1383
69,99,1384
69,98,1385
69,97,1386
69,96,1387
69,95,1388
69,94,1389
69,93,1390
69,92,1391
69,91,1392
69,90,1393
40,85,1394
40,84,1395
111,118,1396
111,119,1397
40,81,1398
40,80,1399
40,83,1400
40,82,1401
111,112,1402
111,113,1403
40,89,1404
40,88,1405
111,114,1406
111,115,1407
40,86,1408
15,130,1409
15,131,1410
15,132,1411
15,133,1412
15,134,1413
15,135,1414
15,136,1415
15,137,1416
15,138,1417
15,139,1418
96,97,1419
100,129,1420
100,128,1421
100,125,1422
100,124,1423
100,127,1424
100,126,1425
100,121,1426
100,120,1427
100,123,1428
100,122,1429
99,112,1430
99,113,1431
99,110,1432
99,111,1433
99,116,1434
99,117,1435
99,114,1436
99,115,1437
99,118,1438
99,119,1439
76,97,1440
82,134,1441
112,113,1442
76,94,1443
112,115,1444
112,114,1445
112,117,1446
95,126,1447
112,119,1448
112,118,1449
95,125,1450
76,99,1451
76,98,1452
62,103,1453
82,137,1454
62,102,1455
95,123,1456
62,101,1457
95,122,1458
94,139,1459
94,138,1460
62,100,1461
95,121,1462
11,113,1463
94,131,1464
94,130,1465
94,133,1466
94,132,1467
94,135,1468
94,134,1469
94,137,1470
94,136,1471
39,121,1472
39,120,1473
39,123,1474
39,122,1475
39,125,1476
39,124,1477
39,127,1478
39,126,1479
39,129,1480
39,128,1481
62,104,1482
11,141,1483
11,140,1484
11,143,1485
11,142,1486
50,84,1487
50,85,1488
50,86,1489
50,87,1490
50,80,1491
50,81,1492
50,82,1493
50,83,1494
18,98,1495
50,88,1496
50,89,1497
18,97,1498
18,96,1499
44,123,1500
54,126,1501
54,127,1502
54,124,1503
54,125,1504
54,122,1505
54,123,1506
54,120,1507
54,121,1508
13,93,1509
54,128,1510
54,129,1511
18,91,1512
18,90,1513
41,48,1514
41,49,1515
61,68,1516
61,69,1517
61,66,1518
61,67,1519
61,64,1520
61,65,1521
61,62,1522
61,63,1523
41,44,1524
41,45,1525
61,108,1526
61,109,1527
61,100,1528
61,101,1529
61,102,1530
61,103,1531
61,104,1532
61,105,1533
61,106,1534
61,107,1535
13,96,1536
31,78,1537
31,79,1538
34,99,1539
34,98,1540
34,95,1541
34,94,1542
34,97,1543
34,96,1544
34,91,1545
34,90,1546
34,93,1547
34,92,1548
13,95,1549
81,102,1550
81,103,1551
81,100,1552
81,101,1553
81,106,1554
81,107,1555
81,104,1556
81,105,1557
81,108,1558
81,109,1559
10,97,1560
10,96,1561
77,129,1562
77,128,1563
10,93,1564
10,92,1565
10,91,1566
10,90,1567
77,123,1568
77,122,1569
77,121,1570
77,120,1571
77,127,1572
77,126,1573
77,125,1574
77,124,1575
106,142,1576
9,54,1577
9,55,1578
9,56,1579
9,57,1580
9,50,1581
9,51,1582
9,52,1583
9,53,1584
9,58,1585
9,59,1586
49,95,1587
49,94,1588
49,97,1589
49,96,1590
49,91,1591
49,90,1592
49,93,1593
49,92,1594
49,99,1595
49,98,1596
90,117,1597
32,119,1598
32,118,1599
32,117,1600
32,116,1601
32,115,1602
32,114,1603
32,113,1604
32,112,1605
32,111,1606
32,110,1607
74,124,1608
74,125,1609
74,126,1610
74,127,1611
74,120,1612
74,121,1613
74,122,1614
74,123,1615
105,137,1616
105,136,1617
105,135,1618
105,134,1619
74,128,1620
105,132,1621
105,131,1622
105,130,1623
37,47,1624
37,46,1625
37,45,1626
37,44,1627
37,43,1628
37,42,1629
37,41,1630
37,40,1631
37,49,1632
21,119,1633
21,118,1634
118,140,1635
118,141,1636
118,142,1637
118,143,1638
118,144,1639
118,145,1640
57,113,1641
45,111,1642
45,110,1643
45,113,1644
45,112,1645
45,115,1646
45,114,1647
72,95,1648
72,94,1649
45,119,1650
45,118,1651
72,99,1652
72,98,1653
21,59,1654
21,58,1655
21,57,1656
21,56,1657
21,55,1658
21,54,1659
21,53,1660
21,52,1661
21,51,1662
21,50,1663
23,128,1664
23,129,1665
23,120,1666
23,121,1667
23,122,1668
23,123,1669
23,124,1670
23,125,1671
23,126,1672
23,127,1673
31,58,1674
31,59,1675
31,56,1676
31,57,1677
31,54,1678
31,55,1679
31,52,1680
31,53,1681
31,50,1682
31,51,1683
124,127,1684
124,126,1685
124,125,1686
124,129,1687
124,128,1688
102,113,1689
20,98,1690
20,99,1691
20,94,1692
20,95,1693
20,96,1694
20,97,1695
20,90,1696
20,91,1697
20,92,1698
20,93,1699
54,66,1700
54,67,1701
54,64,1702
54,65,1703
54,62,1704
54,63,1705
54,60,1706
54,61,1707
54,68,1708
54,69,1709
66,136,1710
38,48,1711
104,115,1712
104,116,1713
104,117,1714
21,108,1715
21,109,1716
41,107,1717
104,112,1718
66,98,1719
66,99,1720
66,96,1721
66,97,1722
66,94,1723
104,113,1724
66,92,1725
66,93,1726
66,90,1727
66,91,1728
45,82,1729
45,83,1730
104,118,1731
45,80,1732
104,119,1733
4,59,1734
4,58,1735
21,102,1736
4,53,1737
4,52,1738
4,51,1739
21,103,1740
4,57,1741
4,56,1742
4,55,1743
4,54,1744
22,38,1745
22,39,1746
22,34,1747
22,35,1748
22,36,1749
22,37,1750
22,30,1751
22,31,1752
22,32,1753
22,33,1754
18,144,1755
18,145,1756
27,79,1757
27,78,1758
18,140,1759
18,141,1760
18,142,1761
7,35,1762
27,73,1763
27,72,1764
27,71,1765
27,70,1766
27,77,1767
27,76,1768
27,75,1769
27,74,1770
7,37,1771
7,31,1772
7,33,1773
25,97,1774
25,96,1775
63,111,1776
9,75,1777
63,110,1778
13,63,1779
13,62,1780
63,115,1781
93,116,1782
63,114,1783
17,67,1784
17,66,1785
17,65,1786
17,64,1787
17,63,1788
17,62,1789
17,61,1790
17,60,1791
13,67,1792
63,116,1793
17,69,1794
13,66,1795
6,73,1796
6,72,1797
6,71,1798
6,70,1799
6,77,1800
13,65,1801
6,75,1802
6,74,1803
6,79,1804
13,64,1805
25,99,1806
66,116,1807
101,127,1808
19,63,1809
32,143,1810
19,62,1811
12,15,1812
66,117,1813
26,30,1814
26,31,1815
26,32,1816
26,33,1817
26,34,1818
66,118,1819
26,36,1820
26,37,1821
26,38,1822
26,39,1823
17,136,1824
17,137,1825
17,134,1826
17,135,1827
17,132,1828
17,133,1829
17,130,1830
17,131,1831
17,138,1832
17,139,1833
43,141,1834
12,16,1835
74,77,1836
12,19,1837
74,76,1838
99,138,1839
99,139,1840
99,134,1841
99,135,1842
99,136,1843
99,137,1844
99,130,1845
99,131,1846
99,132,1847
99,133,1848
52,59,1849
52,58,1850
76,79,1851
76,78,1852
52,53,1853
12,18,1854
52,55,1855
52,54,1856
52,57,1857
52,56,1858
44,138,1859
44,139,1860
44,132,1861
44,133,1862
44,130,1863
44,131,1864
44,136,1865
44,137,1866
44,134,1867
44,135,1868
39,109,1869
4,72,1870
39,103,1871
15,29,1872
39,101,1873
39,100,1874
39,107,1875
39,106,1876
39,105,1877
39,104,1878
15,25,1879
4,78,1880
30,69,1881
54,100,1882
54,101,1883
54,102,1884
54,103,1885
54,104,1886
54,105,1887
54,106,1888
54,107,1889
54,108,1890
54,109,1891
41,60,1892
41,61,1893
41,62,1894
41,63,1895
41,64,1896
41,65,1897
41,66,1898
41,67,1899
41,68,1900
41,69,1901
94,113,1902
94,112,1903
94,111,1904
94,110,1905
64,101,1906
64,100,1907
94,115,1908
94,114,1909
94,119,1910
94,118,1911
64,109,1912
64,108,1913
101,139,1914
101,138,1915
101,133,1916
101,132,1917
101,131,1918
101,130,1919
101,137,1920
101,136,1921
101,135,1922
101,134,1923
30,66,1924
130,144,1925
130,145,1926
130,142,1927
130,143,1928
130,140,1929
130,141,1930
5,116,1931
49,119,1932
49,118,1933
115,129,1934
115,128,1935
115,127,1936
49,114,1937
115,125,1938
115,124,1939
115,123,1940
115,122,1941
115,121,1942
115,120,1943
22,51,1944
81,128,1945
81,129,1946
81,124,1947
81,125,1948
81,126,1949
81,127,1950
81,120,1951
81,121,1952
81,122,1953
81,123,1954
10,79,1955
5,110,1956
10,75,1957
10,74,1958
10,77,1959
5,111,1960
102,109,1961
10,70,1962
10,73,1963
10,72,1964
78,104,1965
42,78,1966
42,79,1967
42,72,1968
42,73,1969
102,108,1970
100,140,1971
42,76,1972
42,77,1973
42,74,1974
42,75,1975
78,105,1976
9,72,1977
115,134,1978
9,70,1979
9,71,1980
9,76,1981
9,77,1982
9,74,1983
115,135,1984
9,78,1985
9,79,1986
115,136,1987
115,137,1988
115,130,1989
115,131,1990
57,98,1991
57,99,1992
115,132,1993
57,92,1994
57,93,1995
57,90,1996
57,91,1997
57,96,1998
57,97,1999
57,94,2000
57,95,2001
105,119,2002
105,118,2003
105,111,2004
105,110,2005
105,113,2006
105,112,2007
105,115,2008
105,114,2009
105,117,2010
105,116,2011
59,116,2012
59,117,2013
59,114,2014
59,115,2015
59,112,2016
59,113,2017
59,110,2018
59,111,2019
59,118,2020
59,119,2021
14,140,2022
14,141,2023
14,142,2024
14,143,2025
14,144,2026
14,145,2027
7,39,2028
44,49,2029
44,48,2030
44,45,2031
44,47,2032
44,46,2033
45,139,2034
45,138,2035
45,133,2036
45,132,2037
45,131,2038
45,130,2039
45,137,2040
45,136,2041
45,135,2042
45,134,2043
67,79,2044
67,78,2045
67,77,2046
67,76,2047
67,75,2048
67,74,2049
67,73,2050
67,72,2051
67,71,2052
67,70,2053
23,142,2054
23,143,2055
23,140,2056
23,141,2057
23,144,2058
23,145,2059
31,74,2060
31,75,2061
31,76,2062
31,77,2063
42,109,2064
42,108,2065
31,72,2066
31,73,2067
42,105,2068
42,104,2069
42,107,2070
42,106,2071
42,101,2072
42,100,2073
42,103,2074
42,102,2075
71,89,2076
71,88,2077
71,85,2078
71,84,2079
71,87,2080
71,86,2081
71,81,2082
71,80,2083
71,83,2084
71,82,2085
8,75,2086
87,138,2087
82,98,2088
82,99,2089
82,90,2090
82,91,2091
82,92,2092
82,93,2093
82,94,2094
82,95,2095
82,96,2096
82,97,2097
8,9,2098
38,49,2099
38,46,2100
38,47,2101
38,44,2102
38,45,2103
38,42,2104
38,43,2105
38,40,2106
38,41,2107
16,24,2108
16,25,2109
16,26,2110
16,27,2111
16,20,2112
16,21,2113
16,22,2114
16,23,2115
7,34,2116
8,79,2117
45,88,2118
45,89,2119
7,30,2120
16,29,2121
7,32,2122
8,78,2123
84,138,2124
84,139,2125
84,136,2126
84,137,2127
84,134,2128
84,135,2129
84,132,2130
84,133,2131
84,130,2132
84,131,2133
127,128,2134
127,129,2135
43,140,2136
86,116,2137
43,142,2138
43,143,2139
