15,38,7394,7393,ZERO_RESULTS
65,71,8068,8067,ZERO_RESULTS
65,70,8069,8068,ZERO_RESULTS
65,73,8070,8069,ZERO_RESULTS
65,72,8071,8070,ZERO_RESULTS
65,75,8072,8071,ZERO_RESULTS
65,74,8073,8072,ZERO_RESULTS
65,79,8076,8075,ZERO_RESULTS
65,78,8077,8076,ZERO_RESULTS
38,39,8102,8101,ZERO_RESULTS
29,38,8241,8240,ZERO_RESULTS
25,38,8267,8266,ZERO_RESULTS
7,38,9150,9149,ZERO_RESULTS
38,102,9594,9593,ZERO_RESULTS
38,103,9597,9596,ZERO_RESULTS
38,100,9603,9602,ZERO_RESULTS
38,101,9606,9605,ZERO_RESULTS
38,106,9607,9606,ZERO_RESULTS
38,107,9609,9608,ZERO_RESULTS
38,104,9615,9614,ZERO_RESULTS
