ID,orig,dest,duration,distance
7599,49,145,1930,8954
7600,115,118,185,849
7601,115,119,1467,6341
7602,110,117,2231,9782
7603,110,116,1711,8016
7604,110,115,2395,11500
7605,110,114,2106,9428
7606,110,113,1758,8035
7607,110,112,2081,9167
7608,110,111,2140,9437
7609,110,119,1720,7312
7610,110,118,2332,11039
7611,10,44,1344,6106
7612,10,45,611,2103
7613,10,46,514,2182
7614,10,47,1365,6077
7615,10,40,1441,6800
7616,10,41,337,1502
7617,10,42,845,4213
7618,10,43,1465,6164
7619,10,48,1436,6147
7620,10,49,1073,4961
7621,61,75,748,2752
7622,61,74,1099,4613
7623,61,77,1715,7331
7624,79,85,2576,10262
7625,79,84,775,3661
7626,79,87,710,3055
7627,79,86,1792,6857
7628,79,81,1609,6990
7629,79,80,573,2366
7630,79,83,1925,7215
7631,79,82,1872,8014
7632,61,71,1394,5570
7633,79,89,331,1459
7634,79,88,129,639
7635,61,70,1419,6121
7636,61,73,1551,6418
7637,61,72,960,4388
7638,6,80,832,3827
7639,6,81,428,1652
7640,64,65,221,1084
7641,64,67,1333,5496
7642,64,66,1922,8764
7643,64,69,1963,8209
7644,64,68,1499,6552
7645,37,94,2301,10851
7646,37,95,1562,6434
7647,37,96,1201,4692
7648,37,97,912,3741
7649,37,90,1925,9170
7650,37,91,1572,6390
7651,37,92,3191,13937
7652,37,93,2781,11237
7653,70,77,918,3240
7654,70,76,338,1652
7655,70,75,431,2176
7656,70,74,214,600
7657,37,98,2151,10291
7658,37,99,2320,10115
7659,70,71,546,2206
7660,14,131,1154,3305
7661,14,130,1823,7685
7662,14,133,1894,8272
7663,14,132,1834,7775
7664,14,135,1530,5718
7665,14,134,2200,10172
7666,59,129,1615,7519
7667,59,128,1262,5029
7668,59,127,1772,7437
7669,59,126,1815,7726
7670,59,125,1374,5352
7671,59,124,1705,6989
7672,59,123,1459,6107
7673,59,122,1650,6420
7674,59,121,1793,7342
7675,59,120,1999,8396
7676,80,129,656,3021
7677,80,128,159,556
7678,44,76,1342,5710
7679,44,77,1353,5715
7680,44,70,1974,9194
7681,44,71,1339,6109
7682,44,72,771,3439
7683,6,143,1411,6287
7684,80,121,1784,7341
7685,80,120,1888,7782
7686,80,123,1664,6292
7687,80,122,1702,6657
7688,80,125,1464,5407
7689,80,124,1794,7045
7690,80,127,1134,4997
7691,80,126,1670,6109
7692,6,141,1851,8576
7693,6,144,1839,8642
7694,6,145,1591,7508
7695,12,49,688,2534
7696,31,109,1177,4333
7697,91,98,788,3312
7698,91,99,1114,3934
7699,31,108,1071,3852
7700,91,92,2937,11993
7701,91,93,2062,7206
7702,91,94,938,3873
7703,91,95,239,919
7704,91,96,436,1845
7705,91,97,643,2636
7706,56,82,1247,4594
7707,56,83,544,2082
7708,56,80,1498,5102
7709,56,81,935,3500
7710,56,86,1105,4248
7711,56,87,2052,8144
7712,56,84,1721,6517
7713,56,85,785,2885
7714,56,88,1884,6648
7715,56,89,2028,7786
7716,23,29,1517,7558
7717,90,135,583,2724
7718,90,134,1186,5668
7719,90,137,921,4264
7720,90,136,345,1585
7721,90,131,1162,5050
7722,90,130,705,3348
7723,90,133,1029,4507
7724,90,132,826,3705
7725,90,139,1309,6226
7726,90,138,832,3997
7727,8,88,1407,5367
7728,8,89,971,3638
7729,8,80,1105,4572
7730,8,81,1804,7901
7731,8,82,652,3142
7732,8,83,1942,8470
7733,8,84,1462,6389
7734,8,85,2178,9227
7735,8,86,762,3386
7736,8,87,815,3249
7737,87,88,645,2562
7738,87,89,457,1931
7739,20,29,1717,8160
7740,20,25,1006,3874
7741,20,24,418,1267
7742,20,27,1365,5519
7743,20,26,816,3073
7744,20,21,1088,4065
7745,20,23,248,706
7746,20,22,309,869
7747,116,142,2145,10026
7748,31,138,2031,9594
7749,22,125,1529,6182
7750,22,124,1859,7820
7751,12,42,707,2679
7752,84,107,1719,6405
7753,84,106,1837,6477
7754,84,105,1900,6628
7755,84,104,1938,7024
7756,84,103,1050,4402
7757,84,102,1481,5706
7758,84,101,1087,4618
7759,84,100,1724,6053
7760,16,77,1871,7751
7761,16,76,1078,4073
7762,16,75,969,3549
7763,16,74,1319,5410
7764,16,73,1807,7473
7765,12,43,1304,4613
7766,84,109,1919,7407
7767,84,108,2073,7716
7768,83,88,1843,6791
7769,83,89,1986,7930
7770,83,84,1679,6660
7771,83,85,386,1611
7772,83,86,1270,5192
7773,83,87,2011,8288
7774,22,129,1825,8456
7775,12,40,1450,5507
7776,22,128,1152,4617
7777,43,139,2256,10505
7778,43,138,1779,8275
7779,43,131,1902,8179
7780,43,130,1652,7626
7781,43,133,1976,8786
7782,43,132,1773,7983
7783,43,135,1530,7002
7784,43,134,2133,9946
7785,43,137,1868,8542
7786,43,136,1219,5140
7787,5,141,2057,8365
7788,5,140,2021,8018
7789,5,143,1934,6865
7790,5,142,2172,9025
7791,22,89,1732,7718
7792,22,88,1288,5680
7793,22,85,708,3267
7794,22,84,917,3740
7795,22,87,1814,8672
7796,22,86,1634,7102
7797,22,81,476,1752
7798,22,80,1196,5130
7799,22,83,1067,4202
7800,22,82,1776,7448
7801,27,29,1673,7110
7802,51,111,1194,4604
7803,75,83,1407,5160
7804,15,16,1702,7114
7805,75,82,1442,6067
7806,15,18,222,835
7807,15,19,965,4725
7808,33,60,759,3798
7809,75,89,494,2555
7810,46,89,1242,5113
7811,46,88,1098,3974
7812,46,87,1266,5471
7813,46,86,569,3163
7814,46,85,912,3359
7815,46,84,935,3843
7816,46,83,677,2602
7817,46,82,711,3509
7818,46,81,608,2569
7819,46,80,712,2429
7820,33,69,665,2349
7821,33,68,759,3105
7822,6,128,841,2031
7823,6,129,1418,7095
7824,6,124,1873,7639
7825,6,125,1542,6001
7826,6,126,1859,7686
7827,6,127,1479,6601
7828,6,120,2167,9045
7829,6,121,1961,7992
7830,6,122,1818,7070
7831,6,123,1742,6887
7832,26,81,449,1471
7833,26,80,1226,4382
7834,26,83,623,2775
7835,26,82,1173,5203
7836,26,85,716,2547
7837,26,84,1295,5159
7838,26,87,1808,8351
7839,26,86,1031,4857
7840,26,89,1757,7066
7841,26,88,1666,7099
7842,120,129,2322,10624
7843,120,128,1916,8354
7844,120,127,1190,5126
7845,120,126,1142,4891
7846,120,125,562,2949
7847,120,124,235,1346
7848,120,123,652,3258
7849,120,122,299,1416
7850,120,121,88,440
7851,27,124,560,2617
7852,27,125,229,979
7853,27,126,1162,4884
7854,27,127,1189,4503
7855,27,120,854,4023
7856,27,121,648,2970
7857,27,122,505,2047
7858,27,123,429,1864
7859,27,128,1318,5014
7860,27,129,1724,7284
7861,52,115,1389,6182
7862,52,114,1100,4110
7863,52,117,932,3229
7864,52,116,627,2114
7865,52,111,1135,4119
7866,52,110,1332,5673
7867,52,113,753,2717
7868,52,112,781,2613
7869,74,91,619,2804
7870,74,90,876,4300
7871,74,93,2310,8790
7872,74,92,3358,15018
7873,52,119,299,882
7874,52,118,1327,5721
7875,74,97,159,670
7876,74,96,199,958
7877,67,137,946,4527
7878,67,136,419,1684
7879,67,135,528,2159
7880,67,134,1230,6005
7881,67,133,878,4043
7882,67,132,873,3559
7883,67,131,535,2256
7884,67,130,707,3144
7885,67,139,1353,6564
7886,67,138,1114,4744
7887,52,88,1032,3654
7888,52,89,1176,4793
7889,52,86,793,3858
7890,52,87,1200,5151
7891,139,145,113,405
7892,139,144,158,727
7893,139,143,412,1476
7894,139,142,254,1017
7895,139,141,191,742
7896,139,140,278,1276
7897,75,121,1776,7471
7898,75,120,1880,7911
7899,75,123,1655,6422
7900,75,122,1694,6786
7901,75,125,1456,5536
7902,75,124,1786,7174
7903,75,127,1098,4676
7904,75,126,1551,5599
7905,75,129,444,1964
7906,75,128,370,1613
7907,35,42,532,1470
7908,58,71,1321,6262
7909,58,70,1334,6576
7910,58,73,1466,6873
7911,58,72,875,4843
7912,58,75,712,3247
7913,58,74,1430,6905
7914,58,77,1335,5868
7915,58,76,821,3771
7916,58,79,1156,5499
7917,58,78,1000,4813
7918,25,59,697,2363
7919,25,58,731,2729
7920,25,53,639,1991
7921,25,52,355,1270
7922,25,51,251,1013
7923,25,50,418,1477
7924,25,57,139,604
7925,25,56,509,2031
7926,25,55,474,1563
7927,25,54,695,2582
7928,51,52,568,2183
7929,51,53,760,2297
7930,10,139,1770,7367
7931,10,138,1483,5751
7932,51,56,234,1007
7933,51,57,317,1148
7934,10,135,814,3248
7935,10,134,1647,6809
7936,10,137,1364,5331
7937,10,136,859,3401
7938,10,131,440,1518
7939,10,130,1161,4164
7940,10,133,1231,4750
7941,10,132,1281,4412
7942,24,112,476,1299
7943,24,113,879,2644
7944,75,107,2083,7939
7945,24,110,2515,11576
7946,103,105,1033,3849
7947,24,111,701,2878
7948,75,105,1654,5609
7949,34,142,2344,9777
7950,34,143,2189,8715
7951,34,140,2192,8770
7952,75,104,1641,5905
7953,34,144,2204,9290
7954,34,145,1961,8036
7955,110,131,885,3632
7956,110,130,1281,5506
7957,110,133,1322,5929
7958,110,132,1373,5590
7959,110,135,1267,5124
7960,110,134,1739,7987
7961,110,137,1456,6509
7962,110,136,1694,6846
7963,110,139,1862,8546
7964,110,138,1575,6930
7965,24,41,1842,7982
7966,10,22,1317,5731
7967,10,23,1177,5499
7968,10,20,1489,6532
7969,57,122,854,3579
7970,10,26,1031,3952
7971,10,27,1010,4182
7972,10,24,1500,6546
7973,10,25,856,3286
7974,24,47,514,1702
7975,10,29,776,2800
7976,24,46,1357,4843
7977,57,127,1259,4885
7978,24,44,515,1528
7979,82,145,1929,8072
7980,82,144,2172,9326
