ID,orig,dest,duration,distance
7103,17,126,1245,5483
7104,17,121,1749,7754
7105,17,120,1853,8195
7106,17,123,1992,8717
7107,17,122,1667,7070
7108,17,129,431,1382
7109,17,128,1200,4632
7110,15,141,1462,5897
7111,15,140,1426,5550
7112,15,143,1422,5495
7113,15,142,1577,6557
7114,15,145,1194,4815
7115,15,144,1437,6069
7116,45,69,677,2416
7117,29,128,1175,4568
7118,29,129,406,1317
7119,29,122,1555,6581
7120,29,123,1880,8227
7121,29,120,1741,7705
7122,29,121,1637,7265
7123,29,126,1133,4994
7124,29,127,583,2569
7125,29,124,1933,8807
7126,29,125,1689,7397
7127,58,62,1209,4845
7128,58,63,1000,3145
7129,58,60,284,1112
7130,99,129,1641,7840
7131,58,61,468,1840
7132,99,123,1566,6526
7133,58,66,1196,5781
7134,99,121,1785,7632
7135,99,120,1992,8685
7136,99,127,1703,7346
7137,99,126,1949,8374
7138,99,125,1367,5641
7139,58,67,607,2513
7140,58,64,747,2565
7141,58,65,1167,4349
7142,93,117,1418,5588
7143,44,129,1819,8515
7144,44,128,907,3643
7145,11,110,1215,5094
7146,11,111,1630,6474
7147,11,116,1004,4172
7148,11,117,1309,5287
7149,11,114,1596,6464
7150,11,115,1885,8537
7151,44,121,1905,7910
7152,44,120,2112,8963
7153,11,118,1823,8076
7154,44,122,1762,6987
7155,44,125,1487,5919
7156,44,124,1817,7557
7157,44,127,1785,7549
7158,44,126,2165,8635
7159,54,119,391,1719
7160,54,118,1151,5371
7161,54,117,302,1406
7162,54,116,219,998
7163,54,115,1213,5833
7164,54,114,544,2362
7165,54,113,576,2368
7166,54,112,164,889
7167,54,111,578,2371
7168,54,110,1899,9646
7169,60,87,1339,6767
7170,41,98,1635,6788
7171,41,95,1469,6164
7172,41,94,1786,7349
7173,41,97,820,3471
7174,41,96,1109,4421
7175,41,91,1094,4160
7176,41,90,1380,5867
7177,41,93,2353,8822
7178,41,92,2764,11523
7179,45,67,917,2484
7180,64,130,1635,7400
7181,64,131,1742,7565
7182,64,132,1755,7758
7183,64,133,1958,8560
7184,64,134,2116,9720
7185,64,135,1513,6777
7186,64,136,1201,4914
7187,64,137,1850,8316
7188,64,138,1762,8049
7189,64,139,2239,10279
7190,17,44,1847,8186
7191,78,106,2242,8629
7192,78,107,2125,8557
7193,137,141,475,1953
7194,137,140,439,1606
7195,137,143,436,1551
7196,137,142,591,2613
7197,137,145,208,872
7198,137,144,451,2126
7199,101,128,1029,3503
7200,101,129,1169,4470
7201,25,95,1326,4831
7202,25,94,1586,6657
7203,25,93,1081,3934
7204,25,92,1491,6634
7205,25,91,1169,4115
7206,25,90,1321,5421
7207,101,120,1246,5361
7208,101,121,1142,4920
7209,101,122,1060,4236
7210,101,123,1208,4567
7211,101,124,1338,5319
7212,101,125,1008,3681
7213,101,126,1122,3887
7214,25,98,1435,6097
7215,78,100,2218,8752
7216,78,101,1581,7317
7217,45,62,579,2444
7218,60,83,1348,5164
7219,34,106,1568,5664
7220,34,107,1692,6262
7221,34,104,1293,4885
7222,34,105,1350,4331
7223,34,102,865,3159
7224,34,103,421,1612
7225,34,100,1122,3662
7226,34,101,50,136
7227,78,109,2413,10106
7228,34,108,1523,5418
7229,34,109,1326,5367
7230,130,133,376,1231
7231,130,132,167,414
7232,130,131,747,3358
7233,130,137,374,1803
7234,130,136,715,3177
7235,130,135,271,1397
7236,130,134,658,3281
7237,130,139,781,3839
7238,130,138,369,1754
7239,49,128,1233,6240
7240,49,129,1415,6859
7241,115,138,1433,6983
7242,115,139,1812,7737
7243,49,120,1657,7377
7244,49,121,1451,6324
7245,49,122,1308,5402
7246,49,123,1232,5219
7247,49,124,1362,5971
7248,49,125,1032,4333
7249,49,126,1615,7066
7250,49,127,1572,6777
7251,81,139,2105,9901
7252,81,138,1627,7672
7253,81,133,2002,8973
7254,81,132,1621,7380
7255,81,131,1403,5701
7256,81,130,1931,8386
7257,81,137,1716,7939
7258,81,136,1067,4537
7259,81,135,1365,5555
7260,81,134,1981,9343
7261,10,68,625,2367
7262,10,69,617,1950
7263,10,66,576,2504
7264,10,67,591,2421
7265,10,64,1399,6155
7266,10,65,1820,7938
7267,10,62,589,1568
7268,10,63,1652,6735
7269,10,60,846,4294
7270,10,61,517,2210
7271,42,47,935,2874
7272,42,46,660,2115
7273,42,45,809,3924
7274,42,44,722,2155
7275,42,43,720,2025
7276,60,80,908,3858
7277,42,49,353,519
7278,42,48,691,2008
7279,9,69,443,1451
7280,9,68,964,2384
7281,9,65,1885,7740
7282,9,64,1465,5957
7283,9,67,930,2438
7284,9,66,353,1640
7285,9,61,705,2944
7286,9,60,1220,5252
7287,9,63,1686,6144
7288,9,62,588,1816
7289,105,106,941,3641
7290,105,107,1048,4200
7291,109,144,2979,12702
7292,105,108,296,1367
7293,105,109,294,1273
7294,109,145,2736,11448
7295,109,142,3118,13190
7296,109,143,2880,11029
7297,59,105,914,3639
7298,59,104,733,2583
7299,59,107,841,3078
7300,59,106,717,2480
7301,59,101,1223,4681
7302,59,100,987,3593
7303,59,103,678,2633
7304,59,102,587,2282
7305,109,141,3003,12530
7306,59,109,1069,4622
7307,59,108,1006,4302
7308,13,92,1176,5469
7309,80,145,1137,4880
7310,80,144,1385,6013
7311,80,143,1157,4343
7312,80,142,1538,6639
7313,80,141,1397,5947
7314,80,140,1361,5600
7315,44,58,741,3075
7316,44,59,383,1309
7317,44,56,1279,4909
7318,44,57,908,3408
7319,44,54,334,1023
7320,44,55,1132,4176
7321,44,52,968,3869
7322,44,53,1062,4588
7323,44,50,877,3187
7324,44,51,1045,3902
7325,32,144,2192,9326
7326,21,79,1262,4833
7327,32,140,2180,8806
7328,32,141,2216,9153
7329,32,142,2332,9813
7330,124,140,2873,12367
7331,67,68,322,1292
7332,67,69,1123,4089
7333,42,138,1639,7760
7334,42,139,2116,9989
7335,42,130,1764,8221
7336,42,131,1235,5536
7337,42,132,1633,7468
7338,42,133,1834,8808
7339,42,134,1993,9431
7340,42,135,1198,5390
7341,42,136,1078,4625
7342,42,137,1968,9388
7343,71,98,1048,4821
7344,71,99,1481,5698
7345,71,96,429,1925
7346,71,97,621,2585
7347,71,94,997,4350
7348,71,95,390,1793
7349,71,92,3303,13757
7350,71,93,2884,11454
7351,71,90,663,3119
7352,71,91,596,2596
7353,69,77,1955,7247
